"Part No.","Part description","Group number","Group name","In stock","Available","Expected, available","Reorder point","Vendor number","Vendor name","Vendor part no.","Lead time","Price per UoM","Subtotal","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"VLPA-017","1/4 BSP to 2x 6mm straight/ side T fitting","AG00005.2","Air System",0,0,0,50,"V00006","www.kaiyuanpneumatic.com","PD6-02",0,1,50,,,"$1",,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-083","1/4BSP F/Male-F/Male brass elbow","AG00005.2","Air System",7,4,0,50,"V00060","NINGBO KEPLER AUTOMATION CO., LTD (NINGBO SHIMAOTONG INTERNATIONAL",,30,0.75,34.5,,,,,,,,,,
"VLPA-023","1/4BSP plug male brass","AG00005.2","Air System",6,6,0,20,"V00057","NINGBO SMART PNEUMATIC CO LTD",,30,1.8,25.2,,,0,,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-018","1/8BSP Female to 6mm 90 deg fitting","AG00005.2","Air System",48,46,0,50,"V00006","www.kaiyuanpneumatic.com","PLF6-01",0,12,48,,,"$12",,,,"Ningbo Smart Pneumatic","'-",,
"VLPE-046","2pin chassis plug male (red/green lights)","AG00005.3","Electrical",0,0,0,20,,,,,,,,,"$2.30",,,,"Jaycar","'-",,
"VLPE-047","2pin line plug female (red/green lights)","AG00005.3","Electrical",10,10,0,20,"V00294","Electus Distribution","PS2014",30,2.72,27.2,,,"$2.30",,,,"Jaycar","'-",,
"PBPE-011","3 PIN FEMALE LINE MICROPHONE CONNECTOR","AG00004.2","PipeBOSS",0,0,0,5,"V00042","ALTRONICS","P0949",10,3.95,19.75,,,,,,,,,,
"PBPE-010","3 PIN MALE CHASSIS MOUNT MICROPHONE CONNECTOR","AG00004.2","PipeBOSS",0,0,0,5,"V00042","ALTRONICS","P0954",10,4.5,22.5,,,,,,,,,,
"VLPE-023","3 pin plug male line for battery charger","AG00005.3","Electrical",0,0,0,20,,,,,,,,,"$1.89","Altronics",,"P0802","Electus","'-","PP1012",
"VLPA-041","300mm round pad (Airbest)","AG00005.2","Air System",12,4,0,5,"V00101","AIRBEST (CHANGXING) TECHNOLOGY CO., LTD","SFG300HE-G4F",30,142.5,142.5,,,,,,,"'-","'-",,
"5MM DIMPLE RUBBER BLACK","5MM DIMPLE RUBBER BLACK",,,0,0,0,2.88,"V00315","CLARK RUBBER",,20,1,2.88,,,,,,,,,,
"A0001160","6 MM FIBER CEMENT SHEET",,,0,0,0,2.88,"V00030","BUNNINGS",,2,20,57.6,,,20,,,,,,,
"VLPA-049","6mm - 6mm 90deg fitting","AG00005.2","Air System",96,95,0,100,"V00006","www.kaiyuanpneumatic.com","'-",30,2.5,12.5,,,0,,,,"'-","'-",,
"VLPA-012","6mm to 6mm hose joiner","AG00005.2","Air System",0,0,0,50,"V00006","www.kaiyuanpneumatic.com","'-",0,0,0,,,0,,,,"Ningbo Smart Pneumatic","'-",,
"PBPE-009","8 PIN FEMALE LINE MICROPHONE CONNECTOR","AG00004.2","PipeBOSS",0,0,0,5,"V00042","ALTRONICS","P0952",10,4.6,23,,,,,,,,,,
"VLPA-090","8mm hose to 1/8BSP 90 deg elbow","AG00005.2","Air System",0,0,0,20,,,,,,,,,,,,,,,,
"VLPA-021","8mm to 6mm push in joiner","AG00005.2","Air System",0,0,0,50,"V00006","www.kaiyuanpneumatic.com","'-",0,0,0,,,0,,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-011","8mm to 8mm hose joiner PVC","AG00005.2","Air System",0,0,0,50,"V00006","www.kaiyuanpneumatic.com","'-",0,0,0,,,0,,,,"Ningbo Smart Pneumatic","'-",,
