"Number","Total","Tax","Total including tax","Paid","Unpaid","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Paid (in currency)","Unpaid (in currency)","Status","Invoice status","Payment status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","Total quantity","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT"
"PO00505",2684,268.4,2952.4,0,2952.4,"AUD",2684,268.4,2952.4,0,2952.4,"Ordered","Not invoiced","Unpaid","Admin","04/08/2026","11/08/2026",,,"04/08/2026",,,"11/08/2026",,,"V00245","MIDWAY METALS",,,"JET","Y","DERRYN F",,"Y"
"PO00504",1,,1,0,1,"$",1,,1,0,1,"Ordered","Not invoiced","Unpaid","Admin","31/07/2026","04/08/2026",,,"31/07/2026",,,,,,"V00193","PR CLEANING RAGS",,1 ,"RAGS",,"DERRYN F",,"Y"
"PO00503",1940.1,194.01,2134.11,0,2134.11,"$",1940.1,194.01,2134.11,0,2134.11,"Ordered","Not invoiced","Unpaid","Admin","30/07/2026","04/08/2026",,,"30/07/2026",,,"05/08/2026",,,"V00087","VULCAN ENGINEERING STEELS",,,"FLAT","Y","DERRYN F",,
"PO00502",2,0.2,2.2,0,2.2,"AUD",2,0.2,2.2,0,2.2,"Ordered","Not invoiced","Unpaid","Admin","30/07/2026","30/07/2026",,,"30/07/2026",,,,,5,"V00279","SOUTHERN STAINLESS",,2 ,"EPOLISH","Y","DERRYN F",,"Y"
"PO00501",3,0.3,3.3,0,3.3,"$",3,0.3,3.3,0,3.3,"New PO","Not invoiced","Unpaid","David C","27/07/2026","27/07/2026",,,,,,,,8,"V00245","MIDWAY METALS",,3 ,"STOCK","Y","DERRYN F",,"Y"
"PO00500",13,1.3,14.3,0,14.3,"$",13,1.3,14.3,0,14.3,"New PO","Not invoiced","Unpaid","David C","27/07/2026","27/07/2026",,,,,,,,8,"V00122","GOLD COAST ELECTROPLATING",,13 ,"STOCK","Y","JOHN Mc",,
"PO00499",0,0,0,0,0,"AUD",0,0,0,0,0,"Ordered","Invoiced","Paid","David C","24/07/2026","30/07/2026",,,"28/07/2026",,,"31/07/2026",,5,"V00313","Dalsteel Metals",,,"STOCK","Y","DERRYN F",,
"PO00498",40,4,44,0,44,"$",40,4,44,0,44,"New PO","Not invoiced","Unpaid","David C","23/07/2026","03/08/2026",,,,,,,,1,"V00279","SOUTHERN STAINLESS",,"40 pcs","STOCK","Y","JOHN Mc",,"Y"
"PO00497",1332.2,133.22,1465.42,0,1465.42,"$",1332.2,133.22,1465.42,0,1465.42,"New PO","Not invoiced","Unpaid","David C","22/07/2026","22/07/2026",,,,,,,,13,"V00224","BRASS & COPPER PTY LTD","BWE TO ORGANISE TRANSPORT",5 ,"STOCK","Y","STEPHEN P",,
"PO00496",70,7,77,0,77,"$",70,7,77,0,77,"New PO","Not invoiced","Unpaid","David C","20/07/2026","20/07/2026",,,,,,,,15,"V00183","BUNDALL POWDER COATING",,70 ,"NATIONAL ENGINEERING","Y","DERRYN F",,"Y"
"PO00495",574.33,57.43,631.76,0,631.76,"AUD",574.33,57.43,631.76,0,631.76,"Received","Not invoiced","Unpaid","Admin","17/07/2026","22/07/2026","28/07/2026",,"17/07/2026",,,"22/07/2026",,6,9340011,"BLUESCOPE DISTRIBUTION",,,"Stock","Y","DERRYN F",,
"PO00494",378.4,37.84,416.24,0,416.24,"$",378.4,37.84,416.24,0,416.24,"Ordered","Not invoiced","Unpaid","Admin","17/07/2026","24/07/2026",,,"17/07/2026",,,"28/07/2026",,11,"V00249","BELOVED ORANGE",,1 ,"YOT","Y","DERRYN F",,
"PO00493",3,0.3,3.3,0,3.3,"$",3,0.3,3.3,0,3.3,"New PO","Not invoiced","Unpaid","David C","16/07/2026","16/07/2026",,,,,,,,19,"V00183","BUNDALL POWDER COATING",,3 ,"STOCK","Y","JOHN Mc",,"Y"
"PO00492",77.44,7.74,85.18,0,85.18,"AUD",77.44,7.74,85.18,0,85.18,"Ordered","Not invoiced","Unpaid","Admin","15/07/2026","15/07/2026",,,"15/07/2026",,,"16/07/2026",,20,"V00114","ACTION ALUMINIUM",,"8 m","noy","Y","DERRYN F",,"N"
"PO00491",1280,128,1408,0,1408,"AUD",1280,128,1408,0,1408,"Received","Not invoiced","Unpaid","Admin","15/07/2026","20/07/2026","31/07/2026",,"15/07/2026",,,"24/07/2026",,11,"V00245","MIDWAY METALS",,"40 m","GEM","Y","DERRYN F",,"Y"
"PO00490",101,10.1,111.1,0,111.1,"AUD",101,10.1,111.1,0,111.1,"Ordered","Not invoiced","Unpaid","Admin","15/07/2026","27/07/2026",,,"15/07/2026",,,"27/07/2026",,8,"V00206","SPECIALISED ANODISING SERVICE",,101 ,"ANO","Y","DERRYN F",,
"PO00489",382,38.2,420.2,0,420.2,"AUD",382,38.2,420.2,0,420.2,"Ordered","Not invoiced","Unpaid","Admin","14/07/2026","28/07/2026",,,"14/07/2026",,,"28/07/2026",,7,"V00061","BFS PLASTICS PTY LTD",,,"STOCK","Y","DERRYN F",,"N"
"PO00488",2380,238,2618,0,2618,"AUD",2380,238,2618,0,2618,"Ordered","Not invoiced","Unpaid","Admin","14/07/2026","17/07/2026",,,"14/07/2026",,,"17/07/2026",,18,"V00198","INDUSTRIAL MINERALS",,"4 pcs","JET","Y","DERRYN F",,
"PO00487",796.95,79.7,876.65,0,876.65,"$",796.95,79.7,876.65,0,876.65,"Received","Invoiced","Unpaid","David C","13/07/2026","13/07/2026","30/07/2026",,,1,"30/07/2026","30/07/2026",,17,"V00171","TAIPAN PTY LTD",,"16 pcs","STOCK","Y","JOHN Mc",,
"PO00486",2156.25,215.63,2371.88,0,2371.88,"AUD",2156.25,215.63,2371.88,0,2371.88,"New PO","Not invoiced","Unpaid","David C","13/07/2026","03/08/2026",,,,,,,,1,"V00202","HYDRAULICS NETWORK",,,"STOCK","Y","JOHN Mc",,
