"Number","Part No.","Part description","Free text","Vendor part no.","Group number","Group name","Quantity","Lot","Total","Tax","Total including tax","Unit cost","Currency","Total (in currency)","Tax (in currency)","Total including tax (in currency)","Unit cost (in currency)","Status","Product status","Created by","Created","Expected date","Arrival date","Order ID","Order date","Invoice ID","Invoice date","Due date","Shipped on","Delay","Vendor number","Vendor name","PO free text","B.W.E. Job ID","PO Emailed","Attention","NOTES","ACCOUNT","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"PO00505","A0001407","20MM PLATE STAINLESS STEEL 316 #1","1 X 2438MM X 1219MM X 20MM PLATE",,,,2.972,"L02199",2684,268.4,2952.4,903.09555854643,"AUD",2684,268.4,2952.4,903.09555854643,"Ordered","Planned","Admin","04/08/2026","11/08/2026",,,"04/08/2026",,,"11/08/2026",,,"V00245","MIDWAY METALS",,"JET","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00505","A00141","FREIGHT INWARD",,,"AG00011","FREIGHT INWARD",1,"L02200",0,0,0,0,"AUD",0,0,0,0,"Ordered","Planned","Admin","04/08/2026","11/08/2026",,,"04/08/2026",,,"11/08/2026",,,"V00245","MIDWAY METALS",,"JET","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00504",1,"BWEGProduction","WHITH T-SHIRT RAGS - (BAG)",,"AG00004","Blue Water Engineering",1,"L02196",1,,1,1,"$",1,,1,1,"Ordered","Planned","Admin","31/07/2026","04/08/2026",,,"31/07/2026",,,,,1,"V00193","PR CLEANING RAGS",,"RAGS",,"DERRYN F",,"Y",,,,,,,,,,
"PO00503","A0002126","150mm x 12mm MILD STEEL FLAT BAR","10 X 6 METER LENGTHS",,,,60,"L02191",1679.4,167.94,1847.34,27.99,"$",1679.4,167.94,1847.34,27.99,"Ordered","Planned","Admin","30/07/2026","04/08/2026",,,"30/07/2026",,,"05/08/2026",,1,"V00087","VULCAN ENGINEERING STEELS",,"FLAT","Y","DERRYN F",,,,,,,,,,,,
"PO00503","A0002127","25mm X 6mm MILD STEEL FLAT BAR","10 X 6 METER LENGTHS",,,,60,"L02192",147.7,14.77,162.47,2.4616666666667,"$",147.7,14.77,162.47,2.4616666666667,"Ordered","Planned","Admin","30/07/2026","04/08/2026",,,"30/07/2026",,,"05/08/2026",,1,"V00087","VULCAN ENGINEERING STEELS",,"FLAT","Y","DERRYN F",,,,,,,,,,,,
"PO00503","FREIGHT","FREIGHT",,,,,1,"L02193",113,11.3,124.3,113,"$",113,11.3,124.3,113,"Ordered","Planned","Admin","30/07/2026","04/08/2026",,,"30/07/2026",,,"05/08/2026",,1,"V00087","VULCAN ENGINEERING STEELS",,"FLAT","Y","DERRYN F",,,,,,,,,,,,
"PO00502",1,"BWEGProduction","""P"" - E-POLISHED",,"AG00004","Blue Water Engineering",1,"L02189",1,0.1,1.1,1,"AUD",1,0.1,1.1,1,"Ordered","Planned","Admin","30/07/2026","30/07/2026",,,"30/07/2026",,,,,6,"V00279","SOUTHERN STAINLESS",,"EPOLISH","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00502",23292,"""YOT BLUE"" MIRROR POLISHED SIGN - 700MM OD.","E-POLISHED",,,,1,"L02188",1,0.1,1.1,1,"AUD",1,0.1,1.1,1,"Ordered","Planned","Admin","30/07/2026","30/07/2026",,,"30/07/2026",,,,,6,"V00279","SOUTHERN STAINLESS",,"EPOLISH","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00501","A0002122","STAINLESS STEEL SHEET","3X1250X2500 GRADE 4003",,,,2,"L02182",2,0.2,2.2,1,"$",2,0.2,2.2,1,"New PO","Requested","David C","27/07/2026","27/07/2026",,,,,,,,9,"V00245","MIDWAY METALS",,"STOCK","Y","DERRYN F",,"Y",,,,,,,,,,
"PO00501","FREIGHT","FREIGHT",,,,,1,"L02183",1,0.1,1.1,1,"$",1,0.1,1.1,1,"New PO","Requested","David C","27/07/2026","27/07/2026",,,,,,,,9,"V00245","MIDWAY METALS",,"STOCK","Y","DERRYN F",,"Y",,,,,,,,,,
