"Part No.","Part description","Group number","Group name","Source","Quantity","Requirement date","Action date","Vendor","Vendor part no.","Price per UoM","Subtotal","Notes","BWE added value cost","Buy Price","Supplier 1","S1 Buy price","Vender Part Number","Supplier 2","S2 Buy Price","Vender 2 Part Number","Sell Price"
"A00004","Part D",,,"CO00006",50,"09/06/2025",,,,,,,,,,,,,,,
"VLPE-016","Low vac switch N/O 1/4BSP 1330","AG00005.3","Electrical","CO00021",1,"26/08/2025","26/08/2025","V00012 www.lefoo.com","LF20V-321610-15""Inches",8.1,8.1,,,"$8.10","Lefoo",,"LF20V-321610-15""","Lefoo","'-",,
"VLPE-017","High vac switch N/C 1/4 BSP 1331","AG00005.3","Electrical","CO00021",1,"26/08/2025","26/08/2025","V00012 www.lefoo.com","LF20V-411610-21Inches",8.1,8.1,,,"$8.10","Lefoo",,"LF20V-411610-21""","Lefoo","'-",,
"A0001407","20MM PLATE STAINLESS STEEL 316 #1",,,"MO00280",0.722,"03/03/2026","25/02/2026","V00245 MIDWAY METALS",,1476,1065.672,,,,,,,,,,
"A0001657","32MM PLATE STAINLESS STEEL 316 NO1",,,"MO00390",0.0365,"06/04/2026","30/03/2026","V00162 VULCAN STAINLESS",,2222,81.103,,,,,,,,,,
"A0001432","3MM CORFLUTE FLUTE BOARD WHITE",,,"MO00419",0.5,"10/04/2026","03/04/2026","V00061 BFS PLASTICS PTY LTD",,5.07,2.535,,,,,,,,,,
"VLPA-056","Air hose Clear 8mm","AG00005.2","Air System","CO00440",10,"30/04/2026","30/04/2026","V00014 -","'-",0.3,3,,,".30c perM",,,,"Ningbo Smart Pneumatic","'-",,
"VLPA-055","Air hose Green 8mm","AG00005.2","Air System","CO00440",10,"30/04/2026","30/04/2026","V00014 -","'-",0.3,3,,,".30c perM",,,,"Ningbo Smart Pneumatic","'-",,
"Round Bar Ø30 304 Stainless Steel","Round Bar Ø30 304 Stainless Steel","AG00009.20","Material Raw Round Bar Stainless Steel","MO00515",3,"20/05/2026","13/05/2026","V00245 MIDWAY METALS",,50,150,,,,,,,,,,
"SPD_BAR_065_1200_001","Spreader 65mm 1200mm Weldment","AG00004.1","Vaclift","MO00524",1,"14/05/2026","14/05/2026","V00122 GOLD COAST ELECTROPLATING",,,,,,,,,,,,,
"RTL_EA_TB65_001","ELECTRIC ACTUATOR ROTATOR LINK 65mm WELDMENT","AG00004.1","Vaclift","MO00505",10,"29/05/2026","20/05/2026","V00122 GOLD COAST ELECTROPLATING",,,,,,,,,,,,,
"VLPF-034","Handlebar Grip","AG00004.1","Vaclift","CO00590",2,"22/06/2026","25/05/2026","V00295 TEEMU",,3.5,7,,,,,,,,,,
"PHV_470_225_002","PHV Vulcanized Rubber Plate 470x225","AG00004.1","Vaclift","MO00550",32,"11/06/2026","05/06/2026","CU0001 ALLIED RUBBER",,,,,,,,,,,,,
"NOY_GNG_014","BARREL BAFFEL PLATE","AG00064","OUTSIDE CUSTOMER","MO00574",10,"02/07/2026","02/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"NOY_GNG_007","BARREL END PLATE","AG00064","OUTSIDE CUSTOMER","MO00568",10,"02/07/2026","02/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"NOY_GNG_005","Trigger Tube","AG00064","OUTSIDE CUSTOMER","MO00566",10,"02/07/2026","02/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"NOY_GNG_006","BARREL Tube","AG00064","OUTSIDE CUSTOMER","MO00567",10,"02/07/2026","02/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"NOY_GNG_012","HANDLE","AG00064","OUTSIDE CUSTOMER","MO00573",10,"02/07/2026","02/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"NOY_GNG_015","HANDLE CLAMP","AG00064","OUTSIDE CUSTOMER","MO00575",10,"02/07/2026","02/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"NOY_GNG_015~01","HANDLE LONG CLAMP","AG00064","OUTSIDE CUSTOMER","MO00576",10,"03/07/2026","03/07/2026","V00183 BUNDALL POWDER COATING",,,,,,,,,,,,,
"A0001341","50MM ROUND BAR ALUMINIUM",,,"MO00601",4.8,"07/08/2026","06/08/2026","V00114 ACTION ALUMINIUM",,50,240,,,,,,,,,,
