"Number","Name","Phone","Teams","E-mail","URL","Address","On time","Average delay","Currency","Default lead time","Total cost","NOTES","ACCOUNT","Payment period","Payment period type"
"V00014","'-",,,,,,100,0,"$",,5,,,,
"V00086","7 Eleven",,,,,,0,0,"$",,0,,,,
"V00205","7 ELEVEN FUEL",,,,,,0,0,"$",,0,,,,
"V00299","AAA Test",123,,,,"1234 ade, ggf, 22222, ff gg gggg, Åland Islands",0,0,"$",,0,,,,
"V00113","ABL DISTRIBUTION","075618 5100",,"sales@abldistribution.com.au",,"11 Harrington St, ARUNDEL QLD 4214, Australia",30,23.5,"$",,1901.3,,,,
"V00188","ABS AUSTRALIAN BOATING SUPPLIES","075502 8484",,"info@austboating.com.au",,"C17 GCCM, 76-84 WATERWAY DRIVE, COOMERA QUEENSLAND 4209, Australia",0,0,"$",,0,,,,
"V00338","ABSOLUTE LASER CUTTING",55632555,,"tony@absolutelaser.com.au",,,0,0,"$",,0,,"N",,
"V00114","ACTION ALUMINIUM","075597 1444",,"paul.c@actionaluminium.com.au",,"ACTION ALUMINIUM, 42 JADE DRIVE, MOLENDINAR QLD 4214, Australia",47,6.09375,"AUD",,5699.91,,"N",30,10
"V00212","AGNEWHIRE GOLD COAST",,,"jo@coastside.com.au",,,0,0,"$",,0,,,,
"Q4232760","AI GROUP","029466 5566",,,,"51 Walker St, NORTH SYDNEY NSW 2060, Australia",0,0,"$",,0,,,,
"V00077","AIR BAG MAN",,,,,,0,0,"$",,0,,,,
"V00101","AIRBEST (CHANGXING) TECHNOLOGY CO., LTD",8657761787553,,"grace.wu@airbest.com",,"809 CHANGXING AVE, CHANGXING ECONOMIC DEVELOPMENT ZONE, HUZHOU ZHEJIANG, China",89,4.2222222222222,"USD",,5203.9,"15-12-2025 I had no response from 3 emails for the email address clara@air-best.com","N",,
"V00270","ALIPAY (AUSTRALIA) PTY LTD",,,,,,0,0,"$",,0,,,,
"V00121","ALL ABOUT LIFTING","075523 1542",,"admin@allaboutlifting.com.au",,"Unit 12 15 Industrial Ave, MOLENDINAR QLD 4214, Australia",0,0,"$",,0,,,,
"V00167","ALL PLATES",,,"andrewh@allplates.com.au",,,0,0,"$",,0,,,,
"V00181","ALLIED BEARINGS & SEALS",,,"alliedbearings@optusnet.com.au",,,0,15,"$",,40.91,,,,
"CU0001","ALLIED RUBBER","073356 7533",,"info@alliedrubber.com.au",,"ALLIED RUBBER, 37 TIMMS ROAD, EVERTON HILLS QLD 4053, Australia, 07 3356 7533",17,10.666666666667,"$",,22187.53,,,,
"V00229","ALLSET AIRCONDITIONING & ELECTRICAL",,,,,,0,0,"$",,0,,,,
"V00280","ALPHA HOTEL - EASTERN CREEK",,,,,,0,0,"$",,0,,,,
094988,"ALSCO","073710 6000",,"orders.salisbury@alsco.com.au",,"PO BOX 132, HAMILTON QLD 4007",0,0,"$",,0,,,,
"V00178","ALSET AIR CONDITIONING & ELECTRICAL PTY LTD",,,"alsetaircon@gmail.com",,"11 SALERNO STREET, ISLE OF CAPRI QLD 4217",0,0,"$",,0,,,,
"V00042","ALTRONICS",,,"qld@altronics.com.au",,"ALTRONIC DISTRIBUTORS, 2/1870 SANDGATE ROAD, VIRGINA, BRISBANE QLD 4014, Australia",80,1.8245614035088,"AUD",,1425.990002,,,,
"V00268","AMAZON",,,,,,0,0,"$",,0,,,,
"V00208","APEX BUILDING PRODUCTS",,,,,,0,0,"$",,0,,,,
"V00272","APPLE SHELVING",,,,,,0,0,"$",,0,,,,
"V00324","ASD AUSTRALIAN STAINLESS DISTRIBUTORS PTY LTD","07 3266 6211",,"stevecollins@asdsales.com.au",,,33,4.6666666666667,"$",,3385,,"N",,
"V00174","ASHDOWN INGRAM",,,,,,0,0,"$",,0,,,,
"V00168","ASHMORE POWER TOOLS",,,,,,0,0,"$",,0,,,,
"V00039","ASIC",,,,,,0,0,"$",,0,,,,
"V00130","ATLAS STAINLESS BALUSTRADE & FABRICATIONS","075593 4744",,"sales@atlasstainless.com.au",,"PO BOX 1195, BROADBEACH QLD 4218",0,0,"$",,0,,,,
"V00015","Auspicious Elec Eng",,,,,,0,0,"$",,0,,,,
"V00098","AUSPICIOUS ELECTRICAL ENGINEERING CO., LTD.",886289920978,,,,"11F. NO 23 SY YUAN ROAD, HSIN-CHUANG TAIPIE COUNTY 242, Taiwan",0,0,"$",,0,,,,
"V00142","AUSTECH SAW & TOOLING",0755636241,,"accounts@austechsaw.com.au",,"PO BOX 2390, NERANG QLD 4211, Australia",0,12.333333333333,"$",,74.03,,,,
"0001631SYC","AUSTRAL WRIGHT METALS",029827090,,,,"133-139 Cowpasture Rd, WETHERILL PARK NSW 2164, Australia",0,0,"$",,0,,,,
"V00055","AUSTRALIA POST",,,,,,0,0,"$",,0,,,,
"V00118","AUSTYRE N WHEELS ASHMORE","075597 0033",,,,"447 Nerang Rd, MOLENDINAR QLD 4214, Australia",0,0,"$",,0,,,,
"V00078","AXIS DOMAINS",,,,,,0,0,"$",,0,,,,
"V00307","BARNES MOULDING AND CASTING SUPPLIES","02 9793 7555",,"info@barnes.com.au",,"BARNES MOULDING AND CASTING SUPPLIES, 5 GREENHILLS AVE, MOOREBANK NSW 2170, Australia",0,15.571428571429,"AUD",,1276.82,,,1,0
"V00311","BATTERY CENTRAL","07 5528 6227",,,,"BATTERY CENTRAL, 4/45 MARGARET STREET, SOUTHPORT QLD 4215, Australia",100,0,"AUD",,122.73,,,,
"V00008","Battery World",,,,,,0,0,"$",,0,,,,
"BLUE000020","BBC DIGITAL","075538 8711",,"ar.goldcoast@bbcdigital.com.au",,"PO BOX 7239, SOUTHPORT PARK QLD 4215",0,0,"$",,0,,,,
"V00143","BELL FAB",0409515820,,"ron@bellfab.com.au",,"36 JADE DRIVE, MOLENDINAR QLD 4214, Australia",67,2,"AUD",,1305,,"Y",,
"V00249","BELOVED ORANGE",0755393500,,"accounts@belovedorange.com",,"Unit 1 1 Geary Cres, MOLENDINAR QLD 4214, Australia",0,6,"$",,792.9,,,,
"V00312","BENDWORX","07 3271 1377",,"sales@bendworx.com.au",,,0,31,"AUD",,360,,,,
"V00265","BEST WESTERN HOTELS",,,,,,0,0,"$",,0,,,,
"V00061","BFS PLASTICS PTY LTD","073276 7933",,"sales2@bfsplastics.com.au",,"56a Pentex St, SALISBURY QLD 4107, Australia",0,6,"$",,745.65,,"N",,
"V00001","Big Case Molding","070 3455 8888",,"info@bigcasemolding.com",,"PO Box 456, Charlotte, Texas 78012, USA",0,0,"$",,0,,,,
"V00213","BLACK HAWK METALS PTY LTD",,,,,,0,0,"$",,0,,,,
"V00274","BLACKWOODS","073275 7222",,"goldcoast@blackwoods.com.au",,"131-137 Mica St, CAROLE PARK QLD 4300, Australia",0,8,"$",,208.8,,,,
"V00329","BLUE WATER ENGINEERING",,,,,,0,0,"$",,0,,"N",,
9340011,"BLUESCOPE DISTRIBUTION","073853 9107",,"jodie.mccoombes@bluescopesteel.com",,"20 Fairbairn Pl, EAGLE FARM QLD 4009, Australia",50,3.6111111111111,"$",,13732.97,,,,
"V1210369","BOC GASES","1300 302 519",,"labradorgas&gear@boc.com",,"3 Telford Pl, ARUNDEL QLD 4214, Australia",0,29.411764705882,"$",,598.63,,,,
"V00330","BOMAC ENGINEERING","3 9796 5300",,,,"Unit 1, 153, Wedgewood Road, Hallam VICTORIA 3803, Australia",0,0,"$",,0,,"N",,
"V00207","BONDE AGENCY",,,,,,0,0,"$",,0,,,,
"V00271","BOSH BINS",,,,,,0,0,"$",,0,,,,
"V00247","BOYNE SMELTERS LIMITED","1300738569 A/P",,"invoices.smelters.au@riotinto.com",,"HANDLEY DRIVE, BOYNE ISLAND BOYNE ISLAND 4680, Australia",0,0,"$",,0,,,,
"V00281","BP ASHMORE",,,,,,0,0,"$",,0,,,,
"V00309","BRADD BUCKLEY",,,,,,0,0,"$",,0,,,,
"V00224","BRASS & COPPER PTY LTD","029624 2355",,"shane@brassandcopper.com.au",,"Unit 9 14-16 Stanton Rd, SEVEN HILLS NSW 2147, Australia",0,0,"$",,0,,,,
"V00277","BUDGET CAR RENTAL",,,,,,0,0,"$",,0,,,,
"V00128","BUILD IT FASTENERS","0499 707 006",,"sales@builditfasteners.com.au",,"Unit 4 37 Expansion St, MOLENDINAR QLD 4214, Australia",51,11.936,"$",,4452.9558,,,,
"V00209","Building Extension",,,,,,0,0,"$",,0,,,,
"V00183","BUNDALL POWDER COATING","075539 6177",,"admin@bundallpc.com.au",,"22 Expansion St, MOLENDINAR QLD 4214, Australia",7,7.5094339622642,"$",,14109.37,,"Y",,
"V00065","BUNNATH KITCHEN",,,,,,0,0,"$",,0,,,,
"V00030","BUNNINGS",,,,,,100,0,"$",,113.07,,,,
"V00239","BURSONS AUTOMOTIVE PTY LTD",,,,,,0,0,"$",,0,,,,
